timestamp,symbol,exchange,type,side,price,size,sequence
1737400000000000000,BTCUSDT,binance,snapshot,bid,50000.00,5.0,1
1737400000001000000,BTCUSDT,binance,snapshot,ask,50000.50,4.0,2
1737400000100000000,BTCUSDT,binance,book_update,bid,50000.00,6.0,3
1737400000200000000,BTCUSDT,binance,book_update,ask,50000.50,3.5,4
1737400000300000000,BTCUSDT,binance,trade,bid,50000.00,0.5,5
1737400000400000000,BTCUSDT,binance,trade,ask,50000.50,0.3,6
1737400000500000000,BTCUSDT,binance,book_update,bid,49999.50,2.0,7
1737400000600000000,BTCUSDT,binance,book_update,ask,50001.00,2.5,8
1737400000700000000,BTCUSDT,binance,trade,bid,49999.50,1.0,9
1737400000800000000,BTCUSDT,binance,snapshot,bid,49999.50,7.0,10
1737400000801000000,BTCUSDT,binance,snapshot,ask,50001.00,6.5,11
1737400000900000000,BTCUSDT,binance,book_update,bid,49999.50,7.5,12
1737400001000000000,BTCUSDT,binance,trade,ask,50001.00,0.7,13
1737400001100000000,BTCUSDT,binance,book_update,ask,50001.50,1.5,14
1737400001200000000,BTCUSDT,binance,trade,bid,49999.50,0.2,15
1737400001300000000,BTCUSDT,binance,book_update,bid,49999.00,3.0,16
1737400001400000000,BTCUSDT,binance,book_update,ask,50001.50,1.0,17
1737400001500000000,BTCUSDT,binance,trade,ask,50001.50,0.4,18
1737400001600000000,BTCUSDT,binance,book_update,bid,49999.00,3.2,19
1737400001700000000,BTCUSDT,binance,trade,bid,49999.00,0.6,20
